B-D,T-L,ANG2,SD,P-L,G-L
B-D,T-L,ANG2,SD,P-L,
B-D,T-L,ANG2,SD,G-L,
B-D,T-L,ANG2,SD,,
B-D,T-L,ANG2,P-L,G-L,
B-D,T-L,ANG2,P-L,,
B-D,T-L,ANG2,G-L,,
B-D,T-L,ANG2,,,
B-D,T-L,SD,P-L,G-L,
B-D,T-L,SD,P-L,,
B-D,T-L,SD,G-L,,
B-D,T-L,SD,,,
B-D,T-L,G-L,P-L,,
B-D,T-L,G-L,,,
B-D,T-L,P-L,,,
B-D,T-L,,,,
B-D,ANG2,SD,P-L,G-L,
B-D,ANG2,SD,P-L,,
B-D,ANG2,SD,G-L,,
B-D,ANG2,SD,,,
B-D,ANG2,P-L,G-L,,
B-D,ANG2,P-L,,,
B-D,ANG2,G-L,,,
B-D,ANG2,,,,
B-D,SD,P-L,G-L,,
B-D,SD,P-L,,,
B-D,SD,G-L,,,
B-D,SD,,,,
B-D,P-L,G-L,,,
B-D,P-L,,,,
B-D,G-L,,,,
T-L,ANG2,SD,P-L,G-L,
T-L,ANG2,SD,P-L,,
T-L,ANG2,SD,G-L,,
T-L,ANG2,SD,,,
T-L,ANG2,G-L,P-L,,
T-L,ANG2,G-L,,,
T-L,ANG2,P-L,,,
T-L,ANG2,,,,
T-L,G-L,SD,P-L,,
T-L,G-L,SD,,,
T-L,G-L,P-L,,,
T-L,G-L,,,,
T-L,SD,P-L,,,
T-L,SD,,,,
T-L,P-L,,,,
ANG2,SD,P-L,G-L,,
ANG2,SD,P-L,,,
ANG2,SD,G-L,,,
ANG2,SD,,,,
ANG2,G-L,P-L,,,
ANG2,G-L,,,,
ANG2,P-L,,,,
SD,G-L,P-L,,,
SD,G-L,,,,
SD,P-L,,,,
G-L,P-L,,,,
