AN,,
ANG,,
ARCH,,
ITM,,
L-M,,
P-S,,
SI,,
AN,ANG,
AN,ARCH,
AN,ITM,
AN,L-M,
AN,P-S,
AN,SI,
ITM,ANG,
L-M,ANG,
P-S,ANG,
SI,ANG,
ARCH,ITM,
ARCH,L-M,
ARCH,P-S,
SI,ARCH,
ITM,L-M,
P-S,ITM,
SI,ITM,
SI,L-M,
SI,P-S,
AN,ARCH,ANG
AN,ITM,ANG
AN,L-M,ANG
AN,P-S,ANG
AN,SI,ANG
AN,ARCH,ITM
AN,ARCH,L-M
AN,ARCH,P-S
AN,ARCH,SI
AN,ITM,L-M
AN,P-S,ITM
AN,SI,ITM
AN,P-S,L-M
AN,SI,L-M
AN,P-S,SI
ARCH,ITM,ANG
L-M,ARCH,ANG
ARCH,P-S,ANG
SI,ARCH,ANG
L-M,ITM,ANG
P-S,ITM,ANG
SI,ITM,ANG
L-M,P-S,ANG
L-M,SI,ANG
SI,P-S,ANG
ARCH,ITM,L-M
ARCH,P-S,ITM
SI,ARCH,ITM
ARCH,P-S,L-M
SI,ARCH,L-M
SI,ARCH,P-S
P-S,ITM,L-M
SI,ITM,L-M
SI,P-S,ITM
SI,P-S,L-M
